Date,BTC,ETH,LTC
2018-07-25,8181.3901367188,472.4930114746,86.2817001343
2018-07-26,7951.580078125,464.0369873047,84.0274963379
2018-07-27,8165.009765625,469.6659851074,84.4636001587
2018-07-28,8192.150390625,466.8980102539,83.6240005493
2018-07-29,8218.4599609375,466.6650085449,84.0840988159
2018-07-30,8180.48,457.081,82.8499
2018-07-31,7780.44,433.867,79.7023
2018-08-01,7624.91,420.747,77.8556
2018-08-02,7567.15,412.621,76.1388
2018-08-03,7434.39,418.262,77.5355
2018-08-04,7032.85,407.252,73.1987
2018-08-05,7068.48,410.516,74.5894
2018-08-06,6951.8,406.658,73.8883
2018-08-07,6753.12,380.215,68.1703
2018-08-08,6305.8,356.613,62.4904
2018-08-09,6568.23,365.588,63.9808
2018-08-10,6184.71,334.176,59.394
2018-08-11,6295.73,322.112,58.3591
2018-08-12,6322.69,319.57,59.3281
2018-08-13,6297.57,286.495,56.8482
2018-08-14,6199.71,278.932,54.5594
2018-08-15,6308.52,282.364,54.5004
2018-08-16,6334.73,288.046,55.3619
2018-08-17,6580.63,315.729,61.5144
2018-08-18,6423.76,295.812,57.2757
2018-08-19,6506.07,300.834,57.939
2018-08-20,6308.53,274.315,53.9962
2018-08-21,6488.76,281.944,56.3502
2018-08-22,6376.71,271.341,55.318600000000004
2018-08-23,6534.88,277.104,57.5434
2018-08-24,6719.96,282.967,57.9298
2018-08-25,6763.19,279.646,57.9079
2018-08-26,6707.26,275.197,57.3341
2018-08-27,6884.64,285.603,60.2499
2018-08-28,7096.28,296.499,63.0244
2018-08-29,7047.16,289.312,61.7672
2018-08-30,6978.23,284.105,60.3152
2018-08-31,7037.58,283.004,61.9255
2018-09-01,7193.25,295.341,65.951
2018-09-02,7272.72,294.371,65.6494
2018-09-03,7260.06,289.259,65.3732
2018-09-04,7361.66,285.723,67.7099
2018-09-05,6792.83,232.331,58.4377
2018-09-06,6529.17,230.215,57.4862
2018-09-07,6467.07,217.203,56.1978
2018-09-08,6225.98,197.951,53.2446
2018-09-09,6300.86,196.924,54.9242
2018-09-10,6329.7,197.079,54.5958
2018-09-11,6321.2,185.066,52.3673
2018-09-12,6351.8,183.331,51.6566
2018-09-13,6517.31,211.354,54.5364
2018-09-14,6512.71,211.749,56.5765
2018-09-15,6543.2,223.074,56.7131
2018-09-16,6517.18,220.589,56.9727
2018-09-17,6281.2,197.875,52.5405
2018-09-18,6371.3,209.975,54.0972
2018-09-19,6398.54,209.969,54.3345
2018-09-20,6519.67,224.591,56.6344
2018-09-21,6734.95,246.584,60.7228
2018-09-22,6721.98,240.48,60.4366
2018-09-23,6710.63,244.33,61.3664
2018-09-24,6595.41,228.73,57.9691
2018-09-25,6446.47,218.505,57.5376
2018-09-26,6495,215.847,57.3955
2018-09-27,6676.75,228.494,62.9794
2018-09-28,6644.13,222.402,61.8951
2018-09-29,6601.96,231.635,61.6069
2018-09-30,6625.56,232.848,61.1419
2018-10-01,6589.62,230.768,60.2081
2018-10-02,6556.1,227.181,59.7054
2018-10-03,6502.59,220.489,57.4775
2018-10-04,6576.69,222.218,58.2795
2018-10-05,6622.48,227.601,58.7662
2018-10-06,6588.31,225.12,57.8441
2018-10-07,6602.95,226.119,58.1603
2018-10-08,6652.23,229.255,59.4126
2018-10-09,6642.64,227.982,58.7133
2018-10-10,6585.53,225.769,57.9818
2018-10-11,6256.24,189.499,51.233
2018-10-12,6274.58,196.727,53.5517
2018-10-13,6285.99,199.841,53.4518
2018-10-14,6290.93,195.715,52.1874
2018-10-15,6596.54,209.704,54.8796
2018-10-16,6596.11,210.12,54.0682
2018-10-17,6544.43,207.083,53.6721
2018-10-18,6476.71,203.352,52.5269
2018-10-19,6465.41,203.727,53.0201
2018-10-20,6489.19,205.43,53.3628
2018-10-21,6482.35,205.142,52.9158
2018-10-22,6487.16,204.044,52.2039
2018-10-23,6475.74,204.336,52.5413
2018-10-24,6495.84,203.852,52.515
2018-10-25,6476.29,202.719,52.2346
2018-10-26,6474.75,203.329,52.0989
2018-10-27,6480.38,204.21,51.932
2018-10-28,6486.39,205.366,51.9375
2018-10-29,6332.63,197.247,49.0714
2018-10-30,6334.27,197.556,49.2391
2018-10-31,6317.61,197.381,49.4415
2018-11-01,6377.78,198.872,50.2719
2018-11-02,6388.44,200.635,51.3307
2018-11-03,6361.26,200.186,50.9734
2018-11-04,6376.13,207.486,53.6125
2018-11-05,6419.66,209.091,53.5463
2018-11-06,6461.01,218.452,55.9451
2018-11-07,6530.14,217.183,54.1889
2018-11-08,6453.72,212.231,52.3734
2018-11-09,6385.62,210.074,51.896
2018-11-10,6409.22,212.533,52.4018
2018-11-11,6411.27,211.34,51.3649
2018-11-12,6371.27,210.418,50.6482
2018-11-13,6359.49,206.826,49.6966
2018-11-14,5738.35,181.397,43.6108
2018-11-15,5648.03,180.806,43.9483
2018-11-16,5575.55,175.177,42.4589
2018-11-17,5554.33,174.001,41.9289
2018-11-18,5623.54,177.067,42.3279
2018-11-19,4871.49,149.175,36.6411
2018-11-20,4451.87,130.339,33.0442
2018-11-21,4602.17,136.701,34.6706
2018-11-22,4365.94,126.706,32.1951
2018-11-23,4347.11,123.296,32.1597
2018-11-24,3880.76,113.494,29.2177
2018-11-25,4009.97,116.45,30.8922
2018-11-26,3779.13,108.335,29.411
2018-11-27,3820.72,110.01,31.0688
2018-11-28,4257.42,122.438,34.6266
2018-11-29,4278.84645524,117.542645204,33.7974470501
2018-11-30,4017.26845712,113.171421096,32.064762816
2018-12-01,4214.67193177,118.635558644,34.3407361247
2018-12-02,4139.8780641,116.388899329,33.7131504014
2018-12-03,3894.1309069,108.925017829,31.0728012801
2018-12-04,3956.89386975,110.214189589,31.186124121
2018-12-05,3753.99482663,102.475555559,29.2952391188
2018-12-06,3521.10172384,91.7610561566,26.9436599533
2018-12-07,3419.93720035,93.2945640148,25.27258518
2018-12-08,3476.11471452,92.1596396877,24.864018022
2018-12-09,3614.23427278,95.1420594843,25.9470229826
2018-12-10,3502.65599577,91.6856567551,24.6177997917
2018-12-11,3424.58807495,88.9453032129,23.8023843229
2018-12-12,3486.95014412,90.5933019065,24.4938298887
2018-12-13,3313.67725772,86.5393148885,23.6688622197
2018-12-14,3242.48476281,84.30829593,23.4643296358
2018-12-15,3236.76164502,84.4408095289,23.7824235188
2018-12-16,3252.83902595,85.2620969271,25.5972102848
2018-12-17,3545.86476058,95.1338271163,29.2688895996
2018-12-18,3696.05912776,101.112455798,30.1421559936
2018-12-19,3745.95076478,101.268575225,29.6827863047
2018-12-20,4134.44120304,116.21687011,32.8168731147
2018-12-21,3896.54371704,109.496233553,30.7966175478
2018-12-22,4014.18251388,116.759499161,31.8559116744
2018-12-23,3998.98034184,130.765259805,33.4596745498
2018-12-24,4078.59919478,140.23800256,33.1966670019
2018-12-25,3815.49060966,129.84435176,31.1343275086
2018-12-26,3857.29751969,131.865627374,30.9859004752
2018-12-27,3654.83353854,116.575910514,28.294507801
2018-12-28,3923.91859424,137.647013306,32.5108301538
2018-12-29,3820.40868219,138.018334779,31.5650017506
2018-12-30,3865.95257679,139.859452892,31.9765157969
2018-12-31,3742.70033544,133.368263445,30.4682232337
2019-01-01,3843.51996727,140.819413158,31.9799304433
2019-01-02,3943.40933686,155.047677215,33.4336823045
2019-01-03,3836.74131867,149.135003379,32.0266994981
2019-01-04,3857.71761887,154.58194227,32.4041682153
2019-01-05,3845.19446017,155.638589483,34.9368661092
2019-01-06,4076.63268458,157.746199308,39.298854416
2019-01-07,4025.24828708,151.699213451,37.8062757103
2019-01-08,4030.84799935,150.359633438,39.479717329
2019-01-09,4035.29636921,150.80311047,38.9855342907
2019-01-10,3678.92468128,128.625185944,33.8660078714
2019-01-11,3687.3654818,127.548324868,32.3276289459
2019-01-12,3661.30098975,125.9665328,32.3844279741
2019-01-13,3552.95306759,116.89780148,30.3328965099
2019-01-14,3706.05222041,129.068732601,32.3582415857
2019-01-15,3630.67522467,122.032712316,31.5070693419
2019-01-16,3655.00688578,123.547061541,31.8234165423
2019-01-17,3678.56397636,123.741921671,31.8886501325
2019-01-18,3657.83943502,121.010265197,31.3114866825
2019-01-19,3728.56836493,124.519021209,32.5507250949
2019-01-20,3601.0135915,119.474828958,31.1764074868
2019-01-21,3576.03243928,117.157852232,31.2128698331
2019-01-22,3604.57705248,118.747550914,31.6844261788
2019-01-23,3585.12306636,117.452609248,32.0019575094
2019-01-24,3600.86550122,117.362886414,32.7761089477
2019-01-25,3599.7658879,116.37834358,32.9818122375
2019-01-26,3602.46043861,116.488738462,33.1505255425
2019-01-27,3583.96576317,113.405291898,32.592836234400004
2019-01-28,3470.45054223,106.589976822,31.1992583995
2019-01-29,3448.11702209,105.598213782,31.0971112509
2019-01-30,3486.18175093,108.90753982,31.930953992
2019-01-31,3457.79274724,107.061013064,31.6521749716
2019-02-01,3487.94538683,107.609786895,32.8270790163
2019-02-02,3521.06078726,110.430261898,34.394830048
2019-02-03,3464.01332586,107.492671458,33.43925425
2019-02-04,3459.15414635,107.821603427,34.1086281456
2019-02-05,3466.35743916,107.443520166,34.2566462801
2019-02-06,3413.7677183,104.919289868,32.9329880978
2019-02-07,3399.47164359,104.535298574,33.2224178398
2019-02-08,3666.78035061,119.267748863,43.4647202884
2019-02-09,3671.20370545,119.430883307,44.7902822885
2019-02-10,3690.18824383,124.806484949,46.827406006
2019-02-11,3648.43062774,121.298395992,43.1825392976
2019-02-12,3653.52864497,122.572291057,43.9286406556
2019-02-13,3632.07060268,122.553602552,41.9976438237
2019-02-14,3616.88097021,121.390203726,41.6405491771
2019-02-15,3620.81075285,122.100387372,42.6996698317
2019-02-16,3629.78749138,123.260213055,43.5947622788
2019-02-17,3673.83629289,133.59888295,43.9283692238
2019-02-18,3915.71447331,146.09837101,48.0431761347
2019-02-19,3947.09440657,145.346183571,47.8646781646
2019-02-20,3999.82050882,149.554343958,51.7859643752
2019-02-21,3954.1182433,146.130844289,49.151597729
2019-02-22,4005.52660406,149.092454265,49.8057342391
2019-02-23,4142.52692999,158.79542978,51.6809280836
2019-02-24,3810.42743065,135.852653564,44.6785931231
2019-02-25,3882.69629339,139.822855499,46.2130671958
2019-02-26,3854.35793575,138.08968196,45.4911299371
2019-02-27,3851.04747978,136.125954509,45.5814256889
2019-02-28,3854.78528208,136.746252009,46.237257137
2019-03-01,3859.58375221,136.443622783,47.4872385184
2019-03-02,3864.41510673,134.206955299,49.0153659415
2019-03-03,3847.17569934,132.249417118,48.380320364
2019-03-04,3761.55701842,127.774121264,46.4320335075
2019-03-05,3896.37502308,137.822384799,53.1324583655
2019-03-06,3903.9425832,138.789354083,55.7842773616
2019-03-07,3911.4842891,138.03450239,57.1890335432
2019-03-08,3901.13162355,135.127074998,56.0995478701
2019-03-09,3963.31374243,137.965335551,58.0868919265
2019-03-10,3951.59982769,136.758683137,57.1818638905
2019-03-11,3905.22731979,133.83403156,55.4202146374
2019-03-12,3909.15620907,134.442888733,56.9970550964
2019-03-13,3906.71716859,133.263076226,55.9331843325
2019-03-14,3924.369118,133.711599756,56.5841836666
2019-03-15,3960.91118728,137.691783786,58.9892592824
2019-03-16,4048.72590374,142.398175801,61.844752484
2019-03-17,4025.22897966,140.000549501,61.2437802555
2019-03-18,4032.50738522,139.374600609,60.2648064825
2019-03-19,4071.19020004,140.519199188,60.6155682346
2019-03-20,4087.47629856,140.68636173,60.8465471051
2019-03-21,4029.32690706,136.636060704,59.3783248641
2019-03-22,4023.96816173,137.181435033,59.8240014006
2019-03-23,4035.82635079,138.239874551,61.3486151925
2019-03-24,4022.1682822,136.986925231,60.2238766743
2019-03-25,3963.07065416,135.031027518,59.4967372873
2019-03-26,3985.08080287,135.460352857,59.3435287366
2019-03-27,4087.06622992,140.988157542,62.2514288897
2019-03-28,4069.10714977,139.416477555,61.1704861142
2019-03-29,4098.37454059,142.497417117,61.3016125981
2019-03-30,4106.66008466,142.092680619,60.6219622335
2019-03-31,4105.40429618,141.514094106,60.7553978572
2019-04-01,4158.18307045,141.830324349,60.6779939756
2019-04-02,4879.87782845,163.961741819,76.1932596939
2019-04-03,4973.02181522,161.458801333,84.9219378767
2019-04-04,4922.79878778,158.052537823,84.9809052844
2019-04-05,5036.68110011,165.514845948,88.6778605953
2019-04-06,5059.81718799,165.947208019,92.573417164
2019-04-07,5198.89699014,174.531647379,92.3123691536
2019-04-08,5289.77104039,180.258815391,89.493042548
2019-04-09,5204.95837847,176.114574527,86.7869615122
2019-04-10,5324.5518687,177.337476528,88.3777407722
2019-04-11,5064.48767243,165.49701739,79.6779906128
2019-04-12,5089.53891201,164.736323365,78.9639611934
2019-04-13,5096.58656276,164.513349875,78.221303601
2019-04-14,5167.72236684,167.838520685,82.9375212398
2019-04-15,5067.10847228,161.574178302,79.0546990538
2019-04-16,5235.55941893,167.623441183,81.3492781191
2019-04-17,5251.93818854,166.950761576,79.3274682066
2019-04-18,5298.38569881,173.814032352,82.0748782366
2019-04-19,5303.81261613,173.708441176,82.5692227845
2019-04-20,5337.8861323,173.751265406,81.5124986208
2019-04-21,5314.5314532,170.046521769,77.331559117
2019-04-22,5399.36541009,171.874669558,76.948077732
2019-04-23,5572.36206051,171.447798826,74.8450217987
2019-04-24,5464.86664182,165.82609059,73.3089431536
2019-04-25,5210.51555862,154.459399951,71.2481178331
2019-04-26,5279.34821147,156.347087281,73.1153465683
2019-04-27,5268.29106346,158.43493242,72.1209037542
2019-04-28,5285.13900822,157.29507397,69.7267999703
2019-04-29,5247.35253746,155.201995458,67.9603802114
2019-04-30,5350.72669668,162.166037089,74.28087406
2019-05-01,5402.69709069,160.818344256,73.6577686214
2019-05-02,5505.28367176,162.122791335,73.7771758525
2019-05-03,5768.28940693,167.952408601,79.3265344093
2019-05-04,5831.16747167,164.026580539,78.0638386356
2019-05-05,5795.70842926,163.45069702200001,75.9843672914
2019-05-06,5746.80700343,172.653208017,74.9827566128
2019-05-07,5829.50151628,169.798657365,74.6930011516
2019-05-08,5982.45732286,170.948168196,74.6202879446
2019-05-09,6174.52868876,170.289301603,74.1771403698
2019-05-10,6378.8489737,173.142739021,77.1666508
2019-05-11,7204.77169716,194.304341538,89.2222559729
2019-05-12,6972.37152291,187.325322672,84.5655110516
2019-05-13,7814.91513992,196.846276938,88.0582361061
2019-05-14,7994.41615632,217.148571659,91.6204061122
2019-05-15,8205.16749484,247.153065441,101.744566017
2019-05-16,7884.90929094,264.010023118,95.5855849808
2019-05-17,7343.89571659,243.764593413,88.9952344815
2019-05-18,7271.20790408,234.595229584,86.7001894258
2019-05-19,8197.68969114,261.292219263,95.3212014721
2019-05-20,7978.30907244,251.864416688,91.493678397
2019-05-21,7963.32777911,255.215875873,91.5077485162
2019-05-22,7680.06654589,244.698911619,88.2105722826
2019-05-23,7881.84672105,245.965672113,89.1767760856
2019-05-24,7987.37156583,249.484984964,99.9030340456
2019-05-25,8052.54385907,251.759872316,102.672318076
2019-05-26,8673.21603511,267.069644637,111.418602843
2019-05-27,8805.7783766,272.86264362,118.032603284
2019-05-28,8719.9617362,271.76871076,114.931159931
2019-05-29,8659.48775584,269.455701828,115.081232591
2019-05-30,8319.47222898,255.858948474,108.795580409
2019-05-31,8574.50164907,268.113560321,114.536959268
2019-06-01,8564.01647182,265.391260671,112.619266718
2019-06-02,8742.95810038,270.225527951,114.702837715
2019-06-03,8208.99482964,252.607929766,107.468575541
2019-06-04,7707.77077085,241.338786302,102.087823513
2019-06-05,7824.23153913,247.051016639,103.849290191
2019-06-06,7822.02338228,249.474338747,111.107226389
2019-06-07,8043.95135807,250.930360395,117.374409829
2019-06-08,7954.12772355,245.738091433,118.552035593
2019-06-09,7688.07711075,233.086698165,115.132302792
2019-06-10,8000.32982299,247.520125135,129.071435158
2019-06-11,7927.71435114,245.781827855,136.029740452
2019-06-12,8145.85747373,260.903303733,135.653751666
2019-06-13,8230.92383068,256.168792302,131.351766243
2019-06-14,8693.83281543,264.08745783,133.053272851
2019-06-15,8838.37523367,269.019322335,138.1270843
2019-06-16,8994.48801293,269.223201488,137.122251868
2019-06-17,9320.35218253,274.35111507,134.438098499
2019-06-18,9081.76285149,265.051857677,135.158731405
2019-06-19,9273.52176614,269.43179794,136.603195708
